Title,Studio,Content Rating,Year,Rating,Summary,Genres,Release Date,Writers,Duration,Directors,Roles
"Monsters, Inc.",Walt Disney Pictures,G,2001,7.5,"James Sullivan and Mike Wazowski are
monsters, they earn their living scaring
children and are the best in the
business... even though they're more
afraid of the children than they are of
them. When a child accidentally enters
their world, James and Mike suddenly
find that kids are not to be afraid of
and they uncover a conspiracy that could
threaten all children across the world.",Fantasy - Animation - Family,10/28/2001,Andrew Stanton - Daniel Gerson,1:32:15,"Lee Unkrich - David Silverman - Pete
Docter","John Goodman - Billy Crystal - Mary
Gibbs"
Moonlight,Plan B Entertainment,R,2016,7.3,"The tender, heartbreaking story of a
young man’s struggle to find himself,
told across three defining chapters in
his life as he experiences the ecstasy,
pain, and beauty of falling in love,
while grappling with his own sexuality.",Drama,9/2/2016,Barry Jenkins,1:50:56,Barry Jenkins,"Trevante Rhodes - André Holland - Naomie
Harris"
Mr. Peabody & Sherman,Pacific Data Images (PDI),PG,2014,6.8,"A young boy and his dog, who happens to
have a genius-level IQ, spring into
action when their time-travel machine is
stolen and moments in history begin to
be changed.",Animation - Adventure - Family,3/7/2014,Craig Wright,1:33:07,Rob Minkoff,Ty Burrell - Max Charles - Ariel Winter
The Muppets,Walt Disney Pictures,PG,2011,6.5,"When Kermit the Frog and the Muppets
learn that their beloved theater is
slated for demolition, a sympathetic
human, Gary, and his puppet roommate,
Walter, swoop in to help the gang put on
a show and raise the $10 million they
need to save the day.",Comedy - Family - Music,11/4/2011,Jason Segel - Nicholas Stoller,1:42:44,James Bobin,Amy Adams - Jason Segel - Emily Blunt
Muppets Most Wanted,Buena Vista,PG,2014,6.2,"While on a grand world tour, The Muppets
find themselves wrapped into an European
jewel-heist caper headed by a Kermit the
Frog look-alike and his dastardly
sidekick.",Comedy - Adventure - Crime,3/21/2014,Nicholas Stoller - James Bobin,1:47:27,James Bobin,Ricky Gervais - Ty Burrell - Tina Fey
My Big Fat Greek Wedding 2,Universal Pictures,PG-13,2016,5.5,"The continuing adventures of the
Portokalos family. A follow-up to the
2002 comedy, ""My Big Fat Greek Wedding.""",Romance - Comedy - Family,3/25/2016,Nia Vardalos,1:33:52,Kirk Jones,"John Corbett - Elena Kampouris - Nia
Vardalos"
Need for Speed,DreamWorks SKG,PG-13,2014,6.1,"The film revolves around a local street-
racer who partners with a rich and
arrogant business associate, only to
find himself framed by his colleague and
sent to prison. After he gets out, he
joins a New York-to-Los Angeles race to
get revenge. But when the ex-partner
learns of the scheme, he puts a massive
bounty on the racer's head, forcing him
to run a cross-country gauntlet of
illegal racers in all manner of
supercharged vehicles.",Action - Crime - Drama,3/14/2014,George Gatins,2:10:42,Scott Waugh,"Aaron Paul - Dominic Cooper - Imogen
Poots"
Neighbors,Universal Pictures,R,2014,6.2,"A couple with a newborn baby face
unexpected difficulties after they are
forced to live next to a fraternity
house.",Comedy,3/8/2014,Andrew J. Cohen - Brendan O'Brien,1:36:41,Nicholas Stoller,Seth Rogen - Zac Efron - Rose Byrne
Neighbors 2: Sorority Rising,Universal Pictures,R,2016,5.6,"A sorority moves in next door to the
home of Mac and Kelly Radner who have a
young child. The Radner's enlist their
former nemeses from the fraternity to
help battle the raucous sisters.",Comedy,5/20/2016,"Evan Goldberg - Andrew J. Cohen -
Nicholas Stoller",1:32:23,Nicholas Stoller,Seth Rogen - Rose Byrne - Zac Efron
The Nice Guys,Silver Pictures,R,2016,7,"A private eye investigates the apparent
suicide of a fading porn star in 1970s
Los Angeles and uncovers a conspiracy.",Action - Comedy - Crime,5/20/2016,Shane Black - Anthony Bagarozzi,1:55:57,Shane Black,"Russell Crowe - Ryan Gosling - Angourie
Rice"
Night at the Museum: Secret of the Tomb,Twentieth Century Fox Film Corporation,PG,2014,6.1,"When the magic powers of The Tablet of
Ahkmenrah begin to die out, Larry Daley
(Ben Stiller) spans the globe, uniting
favorite and new characters while
embarking on an epic quest to save the
magic before it is gone forever.",Adventure - Comedy - Fantasy,12/19/2014,"Thomas Lennon - David Guion - Michael
Handelman",1:37:48,Shawn Levy,Ben Stiller - Rami Malek - Rebel Wilson
The Night Before,Sony Pictures,R,2015,6.1,"In New York City for their annual
tradition of Christmas Eve debauchery,
three lifelong best friends set out to
find the Holy Grail of Christmas parties
since their yearly reunion might be
coming to an end.",Comedy,11/20/2015,"Evan Goldberg - Kyle Hunter - Jonathan
Levine",1:41:16,Jonathan Levine,"Joseph Gordon-Levitt - Seth Rogen -
Anthony Mackie"
Nightcrawler,Bold Films,R,2014,7.6,"When Lou Bloom, desperate for work,
muscles into the world of L.A. crime
journalism, he blurs the line between
observer and participant to become the
star of his own story. Aiding him in his
effort is Nina, a TV-news veteran.",Crime - Drama - Thriller,10/31/2014,Dan Gilroy,1:58:05,Dan Gilroy,Jake Gyllenhaal - Rene Russo - Riz Ahmed
The Nightmare Before Christmas,Tim Burton Animation Company,PG,1993,7.6,"Tired of scaring humans every October 31
with the same old bag of tricks, Jack
Skellington, the spindly king of
Halloween Town, kidnaps Santa Claus and
plans to deliver shrunken heads and
other ghoulish gifts to children on
Christmas morning. But as Christmas
approaches, Jack's rag-doll girlfriend,
Sally, tries to foil his misguided
plans.",Fantasy - Animation - Family,10/9/1993,Tim Burton - Caroline Thompson,1:16:39,Henry Selick,"Danny Elfman - Chris Sarandon -
Catherine O'Hara"
The Nut Job,Open Road Films,PG,2014,5.4,"Surly, a curmudgeon, independent
squirrel is banished from his park and
forced to survive in the city. Lucky for
him, he stumbles on the one thing that
may be able to save his life, and the
rest of park community, as they gear up
for winter - Maury's Nut Store.",Animation - Comedy - Family,1/17/2014,"Lorne Cameron - Peter Lepeniotis -
Daniel Woo",1:25:54,Peter Lepeniotis,"Will Arnett - Katherine Heigl - Brendan
Fraser"
Once Upon a Time in China,Golden Harvest Company,R,1991,7.3,"Set in late 19th century Canton this
martial arts film depicts the stance
taken by the legendary martial arts hero
Wong Fei-Hung (1847-1924) against
foreign forces' (English, French and
American) plundering of China.",Action - Drama,8/15/1991,"Gai Chi Yuen - Pik-yin Tang - Edward
Leung Yiu-Ming",2:13:54,Tsui Hark,Jet Li - Yuen Biao - Jacky Cheung
Once Upon a Time in China & America,China Star Entertainment,PG-13,1997,5.7,"So goes to the U.S. to open a martial
arts school. Around this time, many
Chinese people were sold off to U.S.
railroad companies, and were brutally
treated by the Americans under the harsh
working conditions. Thus, the American
workers' hatred towards the Chinese
immigrants is high. As a result, So gets
into trouble with the Americans and the
mob, and calls Master Wong for help.",Action - Western,2/22/1997,"So Man-Sing - Sze-To Cheuk-Hon - Sharon
Hui",1:35:32,Sammo Hung,Jet Li - Rosamund Kwan - Xiong Xin-Xin
The Other Woman,Twentieth Century Fox Film Corporation,PG-13,2014,6.2,"After discovering her boyfriend is
married, Carly soon meets the wife he's
been cheating on. And when yet another
affair is discovered, all three women
team up to plot mutual revenge on the
three-timing SOB.",Comedy - Romance,4/25/2014,Melissa Stack,1:49:10,Nick Cassavetes,Cameron Diaz - Leslie Mann - Kate Upton
Oz: The Great and Powerful,Walt Disney Pictures,PG,2013,5.7,"Oscar Diggs, a small-time circus
illusionist and con-artist, is whisked
from Kansas to the Land of Oz where the
inhabitants assume he's the great wizard
of prophecy, there to save Oz from the
clutches of evil.",Fantasy - Adventure - Family,3/8/2013,"L. Frank Baum - Mitchell Kapner - David
Lindsay-Abaire",2:10:29,Sam Raimi,James Franco - Mila Kunis - Rachel Weisz
Pacific Rim,Legendary Pictures,PG-13,2013,6.7,"When legions of monstrous creatures,
known as Kaiju, started rising from the
sea, a war began that would take
millions of lives and consume humanity's
resources for years on end. To combat
the giant Kaiju, a special type of
weapon was devised: massive robots,
called Jaegers, which are controlled
simultaneously by two pilots whose minds
are locked in a neural bridge. But even
the Jaegers are proving nearly
defenseless in the face of the
relentless Kaiju. On the verge of
defeat, the forces defending mankind
have no choice but to turn to two
unlikely heroes—a washed-up former pilot
(Charlie Hunnam) and an untested trainee
(Rinko Kikuchi)—who are teamed to drive
a legendary but seemingly obsolete
Jaeger from the past. Together, they
stand as mankind's last hope against the
mounting apocalypse.",Action - Science Fiction - Adventure,7/12/2013,Travis Beacham - Guillermo del Toro,2:11:17,Guillermo del Toro,"Idris Elba - Charlie Hunnam - Charlie
Day"
Paddington,The Weinstein Company,PG,2015,7,"A young Peruvian bear with a passion for
all things British travels to London in
search of a home. Finding himself lost
and alone at Paddington Station, he
begins to realize that city life is not
all he had imagined - until he meets the
kindly Brown family, who read the label
around his neck ('Please look after this
bear. Thank you.') and offer him a
temporary haven. It looks as though his
luck has changed until this rarest of
bears catches the eye of a museum
taxidermist...",Family - Comedy,1/16/2015,Paul King,1:35:12,Paul King,"Nicole Kidman - Peter Capaldi - Ben
Whishaw"
Pan,Warner Bros.,PG,2015,5.9,"Living a bleak existence at a London
orphanage, 12-year-old Peter finds
himself whisked away to the fantastical
world of Neverland. Adventure awaits as
he meets new friend James Hook and the
warrior Tiger Lily. They must band
together to save Neverland from the
ruthless pirate Blackbeard. Along the
way, the rebellious and mischievous boy
discovers his true destiny, becoming the
hero forever known as Peter Pan.",Adventure - Family - Fantasy,10/9/2015,Jason Fuchs,1:51:32,Joe Wright,"Levi Miller - Garrett Hedlund - Hugh
Jackman"
ParaNorman,Focus Features,PG,2012,6.7,"In the town of Blithe Hollow, Norman
Babcock is a boy who can speak to the
dead, but no one besides his eccentric
new friend, Neil, believes his ability
is real. One day, Norman's estranged
eccentric uncle tells him of an
important annual ritual he must take up
to protect the town from an curse cast
by a witch it condemned centuries ago.
Eventually, Norman decides to cooperate,
but things don't go according to plan.
Now, a magic storm of the witch
threatens Blithe Hollow as the accursed
dead rise. Together with unexpected new
companions, Norman struggles to save his
town, only to discover the horrific
truth of the curse. With that insight,
Norman must resolve the crisis for good
as only he can.",Family - Animation - Adventure,8/17/2012,Chris Butler,1:32:15,Sam Fell - Chris Butler,"Kodi Smit-McPhee - Tucker Albrizzi -
Jodelle Ferland"
Passengers,Columbia Pictures,PG-13,2016,6.6,"A spacecraft traveling to a distant
colony planet and transporting thousands
of people has a malfunction in its sleep
chambers. As a result, two passengers
are awakened 90 years early.",Adventure - Drama - Romance,12/21/2016,Jon Spaihts,1:56:10,Morten Tyldum,"Jennifer Lawrence - Chris Pratt -
Michael Sheen"
The Peanuts Movie,Blue Sky Studios,G,2015,6.5,"Snoopy embarks upon his greatest mission
as he and his team take to the skies to
pursue their arch-nemesis, while his
best pal Charlie Brown begins his own
epic quest back home.",Animation,10/19/2015,"Bryan Schulz - Craig Schulz - Cornelius
Uliano",1:28:06,Steve Martino,"Noah Schnapp - Bill Melendez - Venus
Schultheis"
Penguins of Madagascar,DreamWorks Animation,PG,2014,6.5,"Skipper, Kowalski, Rico and Private join
forces with undercover organization The
North Wind to stop the villainous Dr.
Octavius Brine from destroying the world
as we know it.",Family - Animation - Adventure,11/26/2014,Michael Colton - John Aboud,1:31:49,Simon J. Smith - Eric Darnell,"Tom McGrath - Chris Miller - Christopher
Knights"
Pete's Dragon,Walt Disney Pictures,PG,2016,6.2,"Pete is a mysterious 10-year-old with no
family and no home who claims to live in
the woods with a giant, green dragon
named Elliott. With the help of Natalie,
an 11-year-old girl whose father Jack
owns the local lumber mill, forest
ranger Grace sets out to determine where
Pete came from, where he belongs, and
the truth about this dragon.",Adventure - Family - Fantasy,8/12/2016,David Lowery - Toby Halbrooks,1:42:45,David Lowery,"Bryce Dallas Howard - Oakes Fegley - Wes
Bentley"
Planet 51,TriStar Pictures,PG,2009,5.7,"When Earth astronaut Capt. Chuck Baker
arrives on Planet 51 -- a world
reminiscent of American suburbia circa
1950 -- he tries to avoid capture,
recover his spaceship and make it home
safely, all with the help of an
empathetic little green being.",Science Fiction - Animation - Family,11/19/2009,"Joe Stillman - Jorge Blanco - Ignacio
Pérez Dolset",1:28:14,"Jorge Blanco - Javier Abad - Marcos
Martínez","Dwayne Johnson - Seann William Scott -
Jessica Biel"
The Princess and the Frog,Walt Disney Pictures,G,2009,6.7,"A waitress, desperate to fulfill her
dreams as a restaurant owner, is set on
a journey to turn a frog prince back
into a human being, but she has to do
face the same problem after she kisses
him.",Romance - Family - Animation,12/10/2009,Ron Clements - John Musker - Rob Edwards,1:37:27,Ron Clements - John Musker,"Anika Noni Rose - Bruno Campos - Keith
David"
Rare Exports: A Christmas Tale,Filmpool Nord,R,2010,6.4,"It's the eve of Christmas in northern
Finland and an ""archeological"" dig has
just unearthed the real Santa Claus. But
this particular Santa isn't the one you
want coming to town. When all the local
children begin mysteriously
disappearing, young Pietari and his
father Rauno, a reindeer hunter by
trade, capture the mythological being
and attempt to sell Santa to the
misguided leader of the multinational
corporation sponsoring the dig. Santa's
elves, however, will stop at nothing to
free their fearless leader from
captivity. What ensues is a wildly
humorous nightmare - a fantastically
bizarre polemic on modern day morality.
RARE EXPORTS: A CHRISTMAS TALE is a re-
imagining of the most classic of all
childhood fantasies, and is a darkly
comic gem soon to be required perennial
holiday viewing.",Fantasy - Action - Science Fiction,12/3/2010,N/A,1:22:46,Jalmari Helander,"Per Christian Ellefsen - Jorma Tommila -
Tommi Korpela"
Ratatouille,Walt Disney Pictures,G,2007,7.4,"A rat named Remy dreams of becoming a
great French chef despite his family's
wishes and the obvious problem of being
a rat in a decidedly rodent-phobic
profession. When fate places Remy in the
sewers of Paris, he finds himself
ideally situated beneath a restaurant
made famous by his culinary hero,
Auguste Gusteau. Despite the apparent
dangers of being an unlikely - and
certainly unwanted - visitor in the
kitchen of a fine French restaurant,
Remy's passion for cooking soon sets
into motion a hilarious and exciting rat
race that turns the culinary world of
Paris upside down.",Animation - Comedy - Family,6/22/2007,Brad Bird,1:50:33,Brad Bird - Jan Pinkava,Patton Oswalt - Ian Holm - Lou Romano
RED 2,DC Comics,PG-13,2013,6.4,"Retired C.I.A. agent Frank Moses
reunites his unlikely team of elite
operatives for a global quest to track
down a missing portable nuclear device.",Action - Comedy - Crime,7/19/2013,Cully Hamner - Erich Hoeber - Jon Hoeber,1:55:48,Dean Parisot,"Bruce Willis - Catherine Zeta-Jones -
Anthony Hopkins"
The Revenant,Regency Enterprises,R,2015,7.3,"In the 1820s, a frontiersman, Hugh
Glass, sets out on a path of vengeance
against those who left him for dead
after a bear mauling.",Western - Drama - Adventure,12/16/2015,"Alejandro González Iñárritu - Mark L.
Smith",2:36:55,Alejandro González Iñárritu,"Leonardo DiCaprio - Tom Hardy - Will
Poulter"
Robots,Blue Sky Studios,PG,2005,5.9,"Rodney Copperbottom is a young robot
inventor who dreams of making the world
a better place, until the evil Ratchet
takes over Big Weld Industries. Now,
Rodney's dreams – and those of his
friends – are in danger of becoming
obsolete.",Animation - Comedy - Family,3/11/2005,"David Lindsay-Abaire - Lowell Ganz -
Babaloo Mandel",1:23:39,Chris Wedge - Carlos Saldanha,"Robin Williams - Ewan McGregor - Halle
Berry"
Rogue One: A Star Wars Story,Lucasfilm,PG-13,2016,7.3,"A rogue band of resistance fighters
unite for a mission to steal the Death
Star plans and bring a new hope to the
galaxy.",Science Fiction,12/10/2016,Chris Weitz - Tony Gilroy,2:13:57,Gareth Edwards,"Felicity Jones - Diego Luna - Ben
Mendelsohn"
Sausage Party,Columbia Pictures,R,2016,5.7,"Sausage Party, the first R-rated CG
animated movie, is about one sausage
leading a group of supermarket products
on a quest to discover the truth about
their existence and what really happens
when they become chosen to leave the
grocery store.",Adventure - Animation - Comedy,3/14/2016,"Kyle Hunter - Ariel Shaffir - Evan
Goldberg",1:28:45,Conrad Vernon - Greg Tiernan,Seth Rogen - Kristen Wiig - Jonah Hill
The Secret Life of Pets,Universal Pictures,PG,2016,5.8,"The quiet life of a terrier named Max is
upended when his owner takes in Duke, a
stray whom Max instantly dislikes.",Animation,7/8/2016,Ken Daurio - Cinco Paul - Brian Lynch,1:26:27,Chris Renaud,"Louis C.K. - Eric Stonestreet - Kevin
Hart"
Seventh Son,Legendary Pictures,PG-13,2015,5.2,"John Gregory, who is a seventh son of a
seventh son and also the local spook,
has protected the country from witches,
boggarts, ghouls and all manner of
things that go bump in the night.
However John is not young anymore, and
has been seeking an apprentice to carry
on his trade. Most have failed to
survive. The last hope is a young
farmer's son named Thomas Ward. Will he
survive the training to become the spook
that so many others couldn't?",Adventure - Fantasy,2/6/2015,"Max Borenstein - Matt Greenberg -
Charles Leavitt",1:41:59,Sergey Bodrov,"Jeff Bridges - Julianne Moore - Ben
Barnes"
Shrek,DreamWorks SKG,PG,2001,7.2,"It ain't easy bein' green -- especially
if you're a likable (albeit smelly) ogre
named Shrek. On a mission to retrieve a
gorgeous princess from the clutches of a
fire-breathing dragon, Shrek teams up
with an unlikely compatriot -- a
wisecracking donkey.",Adventure - Animation - Comedy,5/16/2001,"Ted Elliott - Terry Rossio - Joe
Stillman",1:30:04,Andrew Adamson - Vicky Jenson,Mike Myers - Eddie Murphy - Cameron Diaz
Shrek 2,DreamWorks SKG,PG,2004,6.6,"Shrek, Fiona and Donkey set off to Far,
Far Away to meet Fiona's mother and
father. But not everyone is happy. Shrek
and the King find it hard to get along,
and there's tension in the marriage. The
fairy godmother discovers that Shrek has
married Fiona instead of her Son Prince
Charming and sets about destroying their
marriage.",Adventure - Animation - Comedy,5/19/2004,"Andrew Adamson - Joe Stillman - J. David
Stem",1:32:23,"Andrew Adamson - Kelly Asbury - Conrad
Vernon",Mike Myers - Eddie Murphy - Cameron Diaz
Shrek Forever After,DreamWorks Animation,PG,2010,6,"A bored and domesticated Shrek pacts
with deal-maker Rumpelstiltskin to get
back to feeling like a real ogre again,
but when he's duped and sent to a
twisted version of Far Far Away—where
Rumpelstiltskin is king, ogres are
hunted, and he and Fiona have never
met—he sets out to restore his world and
reclaim his true love.",Comedy - Adventure - Fantasy,5/16/2010,"William Steig - Josh Klausner - Darren
Lemke",1:33:10,Mike Mitchell,Mike Myers - Eddie Murphy - Cameron Diaz
Shrek the Third,DreamWorks SKG,PG,2007,5.9,"The King of Far Far Away has died and
Shrek and Fiona are to become King &amp;
Queen. However, Shrek wants to return to
his cozy swamp and live in peace and
quiet, so when he finds out there is
another heir to the throne, they set off
to bring him back to rule the kingdom.",Fantasy - Adventure - Animation,5/17/2007,"Jeffrey Price - Peter S. Seaman - Jon
Zack",1:32:43,Chris Miller - Raman Hui,Mike Myers - Eddie Murphy - Cameron Diaz
Sing,Universal Pictures,Pg,2016,6.8,"A koala named Buster recruits his best
friend to help him drum up business for
his theater by hosting a singing
competition.",Animation,12/2/2016,Garth Jennings,1:47:53,Garth Jennings - Christophe Lourdelet,"Matthew McConaughey - Reese Witherspoon
- Seth MacFarlane"
Sisters,Little Stranger,R,2015,5.8,"Two disconnected sisters are summoned to
clean out their childhood bedrooms
before their parents sell their family
home.",Comedy,12/18/2015,Paula Pell,1:57:39,Jason Moore,Tina Fey - Amy Poehler - John Leguizamo
Smurfs: The Lost Village,Columbia Pictures,PG,2017,6,"In this fully animated, all-new take on
the Smurfs, a mysterious map sets
Smurfette and her friends Brainy, Clumsy
and Hefty on an exciting race through
the Forbidden Forest leading to the
discovery of the biggest secret in Smurf
history.",Adventure - Animation - Comedy,4/7/2017,Pamela Ribon - Stacey Harman,1:29:46,Kelly Asbury,"Julia Roberts - Ariel Winter - Ellie
Kemper"
The Sound of Music,Twentieth Century Fox Film Corporation,G,1965,7.3,"Film adaptation of a classic Rodgers and
Hammerstein musical based on a nun who
becomes a governess for an Austrian
family.",Drama - Family - Music,3/2/1965,"Howard Lindsay - Russel Crouse - Ernest
Lehman",2:54:41,Robert Wise,"Julie Andrews - Christopher Plummer -
Eleanor Parker"
The Space Between Us,Southpaw Entertainment,PG-13,2017,7,"A young man raised by scientists on Mars
returns to Earth to find his father.",Romance - Adventure - Science Fiction,2/3/2017,Allan Loeb,1:55:22,Peter Chelsom,"Asa Butterfield - Britt Robertson -
Carla Gugino"
Spark: A Space Tail,Gulfstream Pictures,PG,2017,3.5,"Spark, a teenage monkey and his friends,
Chunk and Vix, are on a mission to
regain Planet Bana - a kingdom overtaken
by the evil overlord Zhong.",Adventure - Animation - Comedy,4/14/2017,Aaron Woodley,1:31:28,Aaron Woodley,"Jessica Biel - Hilary Swank - Susan
Sarandon"
Spectre,Columbia Pictures,PG-13,2015,6.3,"A cryptic message from Bond’s past sends
him on a trail to uncover a sinister
organization. While M battles political
forces to keep the secret service alive,
Bond peels back the layers of deceit to
reveal the terrible truth behind
SPECTRE.",Action - Adventure - Crime,11/6/2015,John Logan - Neal Purvis - Robert Wade,2:28:06,Sam Mendes,"Daniel Craig - Christoph Waltz - Léa
Seydoux"
Spirited Away,Studio Ghibli,PG,2001,8.2,"A ten year old girl who wanders away
from her parents along a path that leads
to a world ruled by strange and unusual
monster-like animals. Her parents have
been changed into pigs along with others
inside a bathhouse full of these
creatures. Will she ever see the world
how it once was?",Fantasy - Adventure - Animation,9/30/2001,Hayao Miyazaki,2:04:32,Hayao Miyazaki,Rumi Hiiragi - Miyu Irino - Mari Natsuki
Split,Universal Pictures,PG-13,2016,6.8,"Though Kevin has evidenced 23
personalities to his trusted
psychiatrist, Dr. Fletcher, there
remains one still submerged who is set
to materialize and dominate all the
others. Compelled to abduct three
teenage girls led by the willful,
observant Casey, Kevin reaches a war for
survival among all of those contained
within him — as well as everyone around
him — as the walls between his
compartments shatter apart.",Horror - Thriller,9/26/2016,M. Night Shyamalan,1:57:08,M. Night Shyamalan,"James McAvoy - Anya Taylor-Joy - Betty
Buckley"
Spy,Twentieth Century Fox Film Corporation,R,2015,6.9,"A desk-bound CIA analyst volunteers to
go undercover to infiltrate the world of
a deadly arms dealer, and prevent
diabolical global disaster.",Action - Comedy - Crime,6/5/2015,Paul Feig,2:10:22,Paul Feig,Melissa McCarthy - Jude Law - Rose Byrne
Star Trek Beyond,Paramount Pictures,PG-13,2016,6.5,"The USS Enterprise crew explores the
furthest reaches of uncharted space,
where they encounter a mysterious new
enemy who puts them and everything the
Federation stands for to the test.",Action - Adventure - Science Fiction,7/22/2016,Simon Pegg - Doug Jung,2:02:21,Justin Lin,Chris Pine - Zachary Quinto - Karl Urban
Star Trek Into Darkness,Paramount Pictures,PG-13,2013,7.4,"When the crew of the Enterprise is
called back home, they find an
unstoppable force of terror from within
their own organization has detonated the
fleet and everything it stands for,
leaving our world in a state of crisis.
With a personal score to settle, Captain
Kirk leads a manhunt to a war-zone world
to capture a one man weapon of mass
destruction. As our heroes are propelled
into an epic chess game of life and
death, love will be challenged,
friendships will be torn apart, and
sacrifices must be made for the only
family Kirk has left: his crew.",Action - Adventure - Science Fiction,5/16/2013,"Alex Kurtzman - Damon Lindelof - Roberto
Orci",2:12:25,J.J. Abrams,"Chris Pine - Zachary Quinto - Zoe
Saldana"
Star Wars: The Force Awakens,Lucasfilm,PG-13,2015,7.5,"Thirty years after defeating the
Galactic Empire, Han Solo and his allies
face a new threat from the evil Kylo Ren
and his army of Stormtroopers.",Action - Adventure - Science Fiction,12/14/2015,"J.J. Abrams - Lawrence Kasdan - Michael
Arndt",2:18:06,J.J. Abrams,Daisy Ridley - John Boyega - Adam Driver
Storks,Warner Bros. Animation,PG,2016,6.7,"Storks deliver babies…or at least they
used to. Now they deliver packages for a
global internet retail giant. Junior,
the company’s top delivery stork, is
about to be promoted when he
accidentally activates the Baby Making
Machine, producing an adorable and
wholly unauthorized baby girl...",Adventure - Animation - Comedy,9/23/2016,Nicholas Stoller,1:26:57,Doug Sweetland - Nicholas Stoller,"Andy Samberg - Katie Crown - Kelsey
Grammer"
Street Fighter: Assassin's Fist,Assassin's Fist Limited,NR,2014,6.4,"The most successful and most loved
fighting video game of all time, Street
Fighter', is finally being given the
epic, and faithful treatment it
deserves.  Street Fighter: Assassins
Fist takes us back to the formative
years of the iconic characters, Ryu and
Ken, as they live a traditional warriors
life in the secluded, mountain
wilderness of Japan.  Training under
their master, Goken, the boys are the
last practitioners of the ancient
fighting style known as Ansatsuken
(Assassin's Fist). Originally developed
as a killing art, masters of this style
are able to manipulate their Chi/Ki
energy into devastating special
techniques of potentially fatal power.
As Ryu and Ken learn about the
mysterious past of their Master Goken
and the tragic and dark legacy of the
Ansatsuken style will the two best
friends become bitter rivals as their
training intensifies and reaches a
climax?",Adventure - Action,10/28/2014,Christian Howard - Joey Ansah,2:19:50,Joey Ansah,"Christian Howard - Mike Moh - Akira
Koieyama"
Suicide Squad,DC Comics,PG-13,2016,5.9,"From DC Comics comes the Suicide Squad,
an antihero team of incarcerated
supervillains who act as deniable assets
for the United States government,
undertaking high-risk black ops missions
in exchange for commuted prison
sentences.",Action - Crime - Fantasy,8/5/2016,David Ayer,2:14:32,David Ayer,Will Smith - Jared Leto - Margot Robbie
Synchronicity,Pop Films,R,2016,5.6,"In this mind-bending 'Sci-Fi Noir' a
daring physicist folds time to travel
into the past, trying to stop a
mysterious woman from stealing his
invention. But once there, he uncovers a
surprising truth about the machine, the
woman, and his own fractured reality.",Thriller - Mystery - Science Fiction,1/22/2016,Jacob Gentry,1:40:29,Jacob Gentry,Chad McKnight - Brianne Davis - AJ Bowen
Tangled,Walt Disney Pictures,PG,2010,7.4,"When the kingdom's most wanted-and most
charming-bandit Flynn Rider hides out in
a mysterious tower, he's taken hostage
by Rapunzel, a beautiful and feisty
tower-bound teen with 70 feet of
magical, golden hair. Flynn's curious
captor, who's looking for her ticket out
of the tower where she's been locked
away for years, strikes a deal with the
handsome thief and the unlikely duo sets
off on an action-packed escapade,
complete with a super-cop horse, an
over-protective chameleon and a gruff
gang of pub thugs.",Animation - Family,11/24/2010,Dan Fogelman,1:40:17,Nathan Greno - Byron Howard,"Zachary Levi - Mandy Moore - Donna
Murphy"
Ted 2,Universal Pictures,R,2015,6.2,"Newlywed couple Ted and Tami-Lynn want
to have a baby, but in order to qualify
to be a parent, Ted will have to prove
he's a person in a court of law.",Comedy,6/26/2015,"Seth MacFarlane - Alec Sulkin -
Wellesley Wild",2:05:50,Seth MacFarlane,"Mark Wahlberg - Seth MacFarlane - Amanda
Seyfried"
Teenage Mutant Ninja Turtles,Paramount Pictures,PG-13,2014,5.8,"The city needs heroes. Darkness has
settled over New York City as Shredder
and his evil Foot Clan have an iron grip
on everything from the police to the
politicians. The future is grim until
four unlikely outcast brothers rise from
the sewers and discover their destiny as
Teenage Mutant Ninja Turtles. The
Turtles must work with fearless reporter
April and her wise-cracking cameraman
Vern Fenwick to save the city and
unravel Shredder's diabolical plan.",Science Fiction - Action - Adventure,8/8/2014,"André Nemec - Evan Daugherty - Josh
Appelbaum",1:41:18,Jonathan Liebesman,"Megan Fox - Will Arnett - William
Fichtner"
Terminator Genisys,Paramount Pictures,PG-13,2015,5.8,"The year is 2029. John Connor, leader of
the resistance continues the war against
the machines. At the Los Angeles
offensive, John's fears of the unknown
future begin to emerge when TECOM spies
reveal a new plot by SkyNet that will
attack him from both fronts; past and
future, and will ultimately change
warfare forever.",Science Fiction - Action - Thriller,7/1/2015,Laeta Kalogridis - Patrick Lussier,2:05:43,Alan Taylor,"Arnold Schwarzenegger - Jason Clarke -
Emilia Clarke"
The Theory of Everything,Working Title Films,PG-13,2014,7.8,"The Theory of Everything is the
extraordinary story of one of the
world’s greatest living minds, the
renowned astrophysicist Stephen Hawking,
who falls deeply in love with fellow
Cambridge student Jane Wilde.",Drama - Romance,11/26/2014,Anthony McCarten,2:03:25,James Marsh,"Eddie Redmayne - Felicity Jones -
Charlie Cox"
Tin Cup,Regency Enterprises,R,1996,5.9,"A washed up golf pro working at a
driving range tries to qualify for the
US Open in order to win the heart of his
succesful rival's girlfriend.",Comedy - Drama - Romance,8/16/1996,Ron Shelton - John Norville,2:14:40,Ron Shelton,"Kevin Costner - Don Johnson - Cheech
Marin"
